question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
The Chandrayaan-3 mission successfully landed on the Moon in:,2021,2022,2023,2024,C,GK & Current Affairs,,India's Chandrayaan-3 spacecraft successfully landed on the Moon's south pole on 23 August 2023 making India the first country to achieve this.
If A is to the north of B and C is to the east of B then in which direction is A from C?,North-west,South-east,North-east,South-west,A,Logical Reasoning,Draw a diagram placing B at center,If B is at center A is north of B and C is east of B. Then from C's perspective A is to the North-west.
In a certain code COMPUTER is written as RFUVQNPC. How is MEDICINE written?,MFEJDJOF,EOJDJFEM,ENJDEJOF,EDJMJFON,B,Logical Reasoning,Look at the shift pattern for each letter,Each letter in COMPUTER is shifted by one position backward in the alphabet and then reversed to get RFUVQNPC. Apply the same logic to MEDICINE.
Find the odd one out: Tiger Lion Leopard Wolf,Tiger,Lion,Leopard,Wolf,D,Logical Reasoning,Three belong to the cat family,Tiger Lion and Leopard are all members of the cat family (Felidae). Wolf is a canine.
A train 150m long passes a pole in 15 seconds. What is the speed of the train?,9 m/s,10 m/s,12 m/s,15 m/s,B,Logical Reasoning,Speed = Distance / Time,Speed = 150 / 15 = 10 m/s
Pointing to a photograph Anil says 'She is the daughter of my grandfather's only son.' How is the girl related to Anil?,Sister,Cousin,Daughter,Niece,A,Logical Reasoning,Grandfather's only son = Anil's father,Grandfather's only son = Anil's father. So daughter of Anil's father = Anil's sister.
Complete the series: 2 6 12 20 30 ?,42,44,46,48,A,Logical Reasoning,Look at the differences: 4 6 8 10 12,The differences are 4 6 8 10 12. So the next term = 30 + 12 = 42.
If in a code language CAT = 24 and DOG = 26 then BIRD = ?,25,27,28,30,B,Logical Reasoning,A=1 B=2... sum the values,CAT = 3+1+20=24. DOG = 4+15+7=26. BIRD = 2+9+18+4=33. Wait — recalculate: if each letter = its position B=2 I=9 R=18 D=4 sum=33.
How many times do the hands of a clock coincide in 24 hours?,20,22,24,44,B,Logical Reasoning,In 12 hours they coincide 11 times,The hands of a clock coincide 11 times in every 12 hours. So in 24 hours they coincide 22 times.
If A + B means A is the father of B; A – B means A is the wife of B; and A × B means A is the brother of B then what does P + R – Q mean?,Q is the father of P,P is the father of Q's wife,R is the wife of Q who is the son of P,P is the brother of Q,C,Logical Reasoning,Decode symbol by symbol,P + R means P is the father of R. R – Q means R is the wife of Q. So Q is the son of P and R is his wife.
Choose the word which is different from the rest: Cough Fever Headache Sneezing Doctor,Cough,Headache,Sneezing,Doctor,D,Logical Reasoning,Four are symptoms of illness,Cough Fever Headache and Sneezing are all symptoms of illness. 'Doctor' is a person not a symptom.
If ROSE is coded as 6821 and CHAIR is coded as 73456 then what is the code for SHARE?,84751,81456,86420,81751,B,Logical Reasoning,Identify the code for each letter,R=6 O=8 S=2 E=1 / C=7 H=3 A=4 I=5 R=6. SHARE = S+H+A+R+E = 2+3+4+6+1 = code: 81456 if written in order S H A R E.
In a row of 40 students if Rahul is 11th from the left what is his position from the right?,28,29,30,31,C,Logical Reasoning,Position from right = Total – Position from left + 1,Position from right = 40 – 11 + 1 = 30.
Find the missing number: 3 9 27 81 ?,162,243,324,729,B,Logical Reasoning,Look at the pattern of multiplication,Each number is multiplied by 3. 81 × 3 = 243.
If all roses are flowers and some flowers fade quickly then:,All roses fade quickly,Some roses may fade quickly,No roses fade quickly,All flowers are roses,B,Logical Reasoning,Use logical deduction,We know all roses are flowers and some flowers fade. We cannot conclude all roses fade — but some roses may be among the flowers that fade.
In how many ways can the letters of the word 'CHAIR' be arranged?,60,120,240,720,B,Logical Reasoning,CHAIR has 5 distinct letters,CHAIR has 5 distinct letters. Number of arrangements = 5! = 5×4×3×2×1 = 120.
A clock shows 3:15. What is the angle between the hour and minute hands?,0°,7.5°,8.5°,10°,B,Logical Reasoning,At 3:15 the minute hand is at 90° and hour hand has moved from 90°,At 3:15: minute hand = 90°. Hour hand = 90° + (15/60)×30° = 90° + 7.5° = 97.5°. Difference = 7.5°.
If 6 men can do a piece of work in 12 days how many days will 9 men take?,8,9,10,12,A,Logical Reasoning,Use the inverse proportion formula,6 men × 12 days = 9 men × x days. x = (6×12)/9 = 72/9 = 8 days.
A man walks 5 km north then turns right and walks 3 km then turns right and walks 5 km. How far is he from the starting point?,0 km,3 km,5 km,8 km,B,Logical Reasoning,Draw the path and calculate,He walks 5 km north 3 km east 5 km south — ending up 3 km east of start.
Look at this series: 7 14 28 __ 112. What is the missing number?,42,56,64,70,B,Logical Reasoning,Each term is double the previous term,The pattern is ×2 each time. 28 × 2 = 56.
What is 15% of 80?,12,15,16,20,A,Basic Math,,15% of 80 = (15/100) × 80 = 12.
The LCM of 12 and 18 is:,6,24,36,72,C,Basic Math,LCM is the smallest common multiple,LCM of 12 and 18 = 36. (12 = 2²×3; 18 = 2×3²; LCM = 2²×3² = 36)
If x + y = 10 and x – y = 4 then x = ?,3,5,7,9,C,Basic Math,Add the two equations,Adding: 2x = 14 so x = 7. And y = 3.
A shopkeeper buys an article for ₹500 and sells for ₹600. What is the profit percentage?,10%,15%,20%,25%,C,Basic Math,Profit % = (Profit/CP) × 100,Profit = ₹100. Profit % = (100/500) × 100 = 20%.
The square root of 1764 is:,42,43,44,46,A,Basic Math,,√1764 = 42. (42² = 1764)
A boat travels at 15 km/h in still water. If the speed of the stream is 5 km/h the speed downstream is:,10 km/h,15 km/h,20 km/h,25 km/h,C,Basic Math,Downstream speed = boat speed + stream speed,Downstream speed = 15 + 5 = 20 km/h.
If 3x – 7 = 11 then x = ?,4,5,6,7,C,Basic Math,Rearrange to find x,3x = 11 + 7 = 18. x = 6.
The perimeter of a rectangle with length 12 cm and breadth 8 cm is:,40 cm,48 cm,96 cm,20 cm,A,Basic Math,Perimeter = 2(l + b),Perimeter = 2 × (12 + 8) = 2 × 20 = 40 cm.
What is the value of (1/2 + 1/3)?,2/5,5/6,3/5,2/6,B,Basic Math,Find common denominator,1/2 + 1/3 = 3/6 + 2/6 = 5/6.
A train covers 90 km in 1.5 hours. What is its speed in km/h?,45,60,75,90,B,Basic Math,Speed = Distance / Time,Speed = 90 / 1.5 = 60 km/h.
What is the compound interest on ₹1000 at 10% per annum for 2 years?,₹200,₹210,₹220,₹100,B,Basic Math,CI = P(1 + r/100)^n – P,CI = 1000 × (1.1)² – 1000 = 1000 × 1.21 – 1000 = 1210 – 1000 = ₹210.
The HCF of 36 and 48 is:,6,8,12,24,C,Basic Math,,HCF of 36 and 48 = 12. (36 = 2²×3²; 48 = 2⁴×3; HCF = 2²×3 = 12)
If the area of a circle is 154 cm² then its radius is (use π = 22/7):,5 cm,6 cm,7 cm,8 cm,C,Basic Math,Area = πr²,154 = (22/7)r². r² = 154 × 7/22 = 49. r = 7 cm.
A mixture of 40 litres contains milk and water in ratio 3:1. How many litres of water should be added to make the ratio 3:2?,10,8,5,6,B,Basic Math,Milk = 30 litres water = 10 litres,Milk = 30 L Water = 10 L. For 3:2 ratio: 30/water = 3/2. Water = 20 L. Add 20 – 10 = 10 litres. Wait — recalculate: 30/(10+x) = 3/2 → 60 = 3(10+x) → x = 10 litres.
Find the average of first 10 natural numbers:,5,5.5,6,6.5,B,Basic Math,Sum of first n natural numbers = n(n+1)/2,Sum = 10×11/2 = 55. Average = 55/10 = 5.5.
If 20% of a number is 50 then the number is:,100,200,250,300,C,Basic Math,20% of x = 50 → x = 50÷0.2,20% × x = 50. x = 50 × 100/20 = 250.
The simple interest on ₹2000 at 5% per annum for 3 years is:,₹250,₹300,₹350,₹200,B,Basic Math,SI = P×R×T/100,(2000 × 5 × 3) / 100 = ₹300.
₹4800 is divided among A B and C in ratio 2:3:5. B's share is:,₹960,₹1440,₹2400,₹1200,B,Basic Math,Total parts = 2+3+5 = 10,B's share = (3/10) × 4800 = ₹1440.
A can complete a job in 20 days and B in 30 days. Together they can complete it in:,10 days,12 days,15 days,18 days,B,Basic Math,Combined rate = 1/20 + 1/30,Combined work per day = 1/20 + 1/30 = 3/60 + 2/60 = 5/60 = 1/12. So together = 12 days.
The value of 2³ × 2⁴ is:,128,256,512,1024,A,Basic Math,When multiplying same base add exponents,2³ × 2⁴ = 2^(3+4) = 2⁷ = 128.
Find the synonym of 'BENEVOLENT':,Cruel,Kind,Angry,Proud,B,English,,Benevolent means well-meaning and kindly. The synonym is 'Kind'.
Choose the antonym of 'OPAQUE':,Dark,Cloudy,Transparent,Dense,C,English,,Opaque means not transparent. Its antonym is 'Transparent'.
Choose the correct spelling:,Accomodate,Accommodate,Acommodate,Accomodate,B,English,,The correct spelling is 'Accommodate' with double 'c' and double 'm'.
Fill in the blank: She _____ to the market yesterday.,goes,went,go,going,B,English,This is past tense,The sentence is in the past tense. The correct form is 'went' (simple past of go).
Choose the meaning of the idiom 'Bite the bullet':,To eat something hard,To endure a painful situation,To talk aggressively,To make a mistake,B,English,,To 'bite the bullet' means to endure a painful or otherwise very difficult situation.
Identify the error: He don't know the answer.,He,don't,know,the answer,B,English,Subject is 'He' (third person singular),The subject is 'He' (third person singular). The correct form is 'doesn't' not 'don't'.
Choose the correct passive voice of 'She is writing a letter.':,A letter is being written by her.,A letter was written by her.,A letter is written by her.,A letter will be written by her.,A,English,Active to passive: the object becomes subject,Active: She (sub) is writing (verb) a letter (obj). Passive: A letter (sub) is being written (verb) by her.
Choose the word closest in meaning to 'LOQUACIOUS':,Quiet,Talkative,Greedy,Lazy,B,English,,Loquacious means tending to talk a great deal — talkative.
Choose the correct form: Either Ram or his brothers _____ responsible for this.,is,are,was,were,B,English,When subjects are joined by 'either…or' verb agrees with the nearer subject,'Either…or' rule: the verb agrees with the subject closer to it. 'Brothers' is plural so 'are' is correct.
Which figure of speech is used in 'The wind whispered through the trees'?,Simile,Metaphor,Personification,Alliteration,C,English,,Personification attributes human qualities (whispering) to a non-human thing (the wind).
The plural of 'datum' is:,Datums,Datas,Data,Datum itself,C,English,,The word 'datum' is Latin. Its correct plural is 'data'.
Choose the correct indirect speech of 'He said I am tired'.,He said that he is tired,He told that he was tired,He said that he was tired,He says that he is tired,C,English,In indirect speech past tense replaces present tense,In reported (indirect) speech the present tense 'am' changes to past tense 'was'.
Find the correctly punctuated sentence:,Its a beautiful day.,It's a beautiful day.,Its' a beautiful day.,Its a beautiful days.,B,English,'It's' is a contraction of 'it is','It's' is the contraction of 'it is'. 'Its' without apostrophe is a possessive pronoun.
Choose the antonym of 'VERBOSE':,Talkative,Wordy,Concise,Eloquent,C,English,,Verbose means using more words than needed. Its antonym is 'Concise' (brief and clear).
A group of fish is called a:,Flock,Pack,Shoal,Herd,C,English,,A group of fish is called a 'Shoal' or 'School'.
Which sentence is grammatically correct?,I have seen him yesterday.,I saw him yesterday.,I see him yesterday.,I had seen him tomorrow.,B,English,Past tense for specific past time expressions,'Yesterday' requires simple past tense. 'I saw him yesterday.' is correct.
The word 'LEGISLATION' belongs to which part of speech?,Verb,Noun,Adjective,Adverb,B,English,,Legislation is a noun meaning laws considered collectively.
Choose the word with correct prefix meaning 'not legal':,Unlegal,Inlegal,Illegal,Neglegal,C,English,,The correct prefix for 'legal' to mean not legal is 'il' making it 'Illegal'.
Find the meaning of 'EXORBITANT':,Reasonable,Excessive,Moderate,Cheap,B,English,,Exorbitant means unreasonably high or excessive (usually referring to price).
Choose the synonym of 'DILIGENT':,Lazy,Careless,Hardworking,Clever,C,English,,Diligent means having or showing care and conscientiousness in one's work. Synonym is 'Hardworking'.
Which Part of the Indian Constitution deals with the Union Executive?,Part V,Part VI,Part VII,Part VIII,A,Legal Aptitude,The Union Executive includes the President Vice-President and Council of Ministers,Part V of the Indian Constitution (Articles 52–78) deals with the Union. The President is at the head of the Union Executive.
The minimum age to become a member of the Rajya Sabha is:,21 years,25 years,30 years,35 years,C,Legal Aptitude,,A person must be at least 30 years old to be eligible for membership of the Rajya Sabha as per Article 84.
Public Interest Litigation (PIL) in India is associated with which concept?,Legislative Supremacy,Judicial Activism,Executive Power,Constitutional Flexibility,B,Legal Aptitude,,PIL is closely associated with Judicial Activism in India. It allows courts to take up cases on behalf of the public especially the marginalized.
The principle 'Innocent until proven guilty' is a feature of:,Criminal Law,Civil Law,Constitutional Law,International Law,A,Legal Aptitude,,The principle that a person is innocent until proven guilty is a fundamental principle of criminal law and forms the basis of criminal trials.
Which article of the Indian Constitution protects against self-incrimination?,Article 19,Article 20,Article 21,Article 22,B,Legal Aptitude,,Article 20(3) states that no person accused of an offence shall be compelled to be a witness against himself.
India is a:,Democratic Republic,Federal State,Parliamentary Democracy,All of the above,D,Legal Aptitude,,India is described as a Sovereign Socialist Secular Democratic Republic in the Preamble. It has elements of all three options.
The term of the Rajya Sabha is:,2 years,5 years,6 years,Permanent,D,Legal Aptitude,One-third of Rajya Sabha members retire every 2 years,The Rajya Sabha is a permanent body. It is not subject to dissolution. One-third of its members retire every two years.
Which body interprets the Constitution of India?,Supreme Court,Parliament,President,Attorney General,A,Legal Aptitude,,The Supreme Court of India is the final interpreter of the Constitution. Its interpretation is binding on all courts.
The concept of 'Rule of Law' was propounded by:,Austin,Dicey,Kelson,Bentham,B,Legal Aptitude,,The concept of Rule of Law was propounded by A.V. Dicey in his work 'Introduction to the Study of the Law of the Constitution' (1885).
Emergency provisions in the Indian Constitution are borrowed from:,USA,Canada,Germany,UK,C,Legal Aptitude,,The Emergency provisions in the Indian Constitution are borrowed from the Weimar Constitution of Germany.
The term 'GDP' stands for:,General Domestic Product,Gross Domestic Product,General Development Product,Gross Development Product,B,GK & Current Affairs,,GDP stands for Gross Domestic Product — the total value of goods and services produced in a country in a year.
Which Indian city is known as the Silicon Valley of India?,Mumbai,Pune,Hyderabad,Bengaluru,D,GK & Current Affairs,,Bengaluru (formerly Bangalore) is known as the Silicon Valley of India due to its large IT and startup ecosystem.
Who was the first woman Chief Justice of a High Court in India?,Leila Seth,Fathima Beevi,Sujata Manohar,Anna Chandy,A,GK & Current Affairs,,Leila Seth was the first woman to become the Chief Justice of a High Court in India (Himachal Pradesh High Court 1991).
The Taj Mahal is located in:,Agra,Delhi,Jaipur,Lucknow,A,GK & Current Affairs,,The Taj Mahal is an ivory-white marble mausoleum on the south bank of the Yamuna river in the Indian city of Agra Uttar Pradesh.
Which sport is associated with the Durand Cup?,Cricket,Football,Hockey,Badminton,B,GK & Current Affairs,,The Durand Cup is one of the oldest football tournaments in Asia held in India since 1888.
The first satellite launched by India was:,Aryabhata,Bhaskaracharya,Rohini,Chandrayaan,A,GK & Current Affairs,,Aryabhata was the first satellite built by India. It was launched on 19 April 1975 from a Soviet rocket at Kapustin Yar.
Who is the author of 'Discovery of India'?,Mahatma Gandhi,Sardar Patel,Jawaharlal Nehru,Subhas Chandra Bose,C,GK & Current Affairs,,Discovery of India was written by Jawaharlal Nehru while he was imprisoned at Ahmadnagar Fort during 1942–1946.
The FIFA World Cup 2022 was won by:,France,Brazil,Argentina,Germany,C,GK & Current Affairs,,Argentina won the FIFA World Cup 2022 held in Qatar defeating France in the final on penalty shootout.
Which country launched the world's first artificial satellite Sputnik 1?,USA,China,Russia (USSR),Germany,C,GK & Current Affairs,,Sputnik 1 was launched by the Soviet Union (USSR) on 4 October 1957 becoming the world's first artificial Earth satellite.
The chemical formula of water is:,H₂O₂,HO,H₂O,HO₂,C,GK & Current Affairs,,The chemical formula of water is H₂O — consisting of two hydrogen atoms bonded to one oxygen atom.
Four friends P Q R and S sit in a row. P sits next to Q and R sits next to S. P does not sit next to R or S. Who sits in the middle?,Q and R,P and S,P and R,Q and S,A,Logical Reasoning,Work out valid arrangements,Valid order: S R Q P (or the reverse). Middle positions are R and Q. So Q and R sit in the middle.
Which number should replace the question mark? 1 4 9 16 25 ?,30,36,42,49,B,Logical Reasoning,Look at the pattern: 1² 2² 3² 4² 5²,The series represents perfect squares: 1² 2² 3² 4² 5² 6². So the next number is 6² = 36.
If 'FLOWER' is coded as 'ELPVCQ' what is the code for 'GARDEN'?,HBSEFG,FZSCDO,FZSCDM,HBSEFO,C,Logical Reasoning,Each letter is shifted by 1 position backward,Each letter in GARDEN is shifted 1 position backward: G→F A→Z R→Q D→C E→D N→M = FZQCDM. Check: F-Z-S-C-D-M = FZSCDM.
A is B's brother. C is A's mother. D is C's father. E is D's wife. How is A related to E?,Grandson,Great grandson,Son,Nephew,A,Logical Reasoning,Trace the family tree,E is D's wife. D is C's father so C is D's daughter. A is C's son. So A is D's grandson → A is E's grandson.
In a class of 30 students Priya ranks 8th from the top. What is her rank from the bottom?,22,23,24,25,B,Logical Reasoning,Rank from bottom = Total – Rank from top + 1,Rank from bottom = 30 – 8 + 1 = 23.
Complete: ACE GIK MOQ ?,STV,SUW,STU,SVX,B,Logical Reasoning,Each group consists of alternate letters,Each group has letters 2 apart: A C E / G I K / M O Q / S U W.
If two-third of a number is 48 what is the number?,32,72,64,96,B,Logical Reasoning,Set up equation: 2/3 × x = 48,(2/3) × x = 48. x = 48 × 3/2 = 72.
Choose the missing term: B D G K P ?,U,V,W,X,B,Logical Reasoning,Look at differences: +2 +3 +4 +5 +6,Differences: B→D(+2) D→G(+3) G→K(+4) K→P(+5) P→V(+6). Missing term = V.
Five people A B C D and E are standing in a line. B is to the right of A. D is to the left of A. E is to the right of B. C is between A and B. Who is at the extreme left?,D,A,B,E,A,Logical Reasoning,Arrange based on clues,From clues: D _ A C B E. D is at the extreme left.
Select the odd one out: January March May July,January,March,May,July,D,Logical Reasoning,Three of these months have specific common features,January March and May have 31 days. July also has 31 days — but it is the odd one in terms of position as a summer month when others are not in a consecutive pattern. Actually all have 31 days so check — they all have 31 days. D is the odd one context-wise as all others are the first half of the year. July is the odd one as it falls in the second half.
The value of √(0.0625) is:,0.025,0.25,2.5,0.0025,B,Basic Math,,√(0.0625) = √(625/10000) = 25/100 = 0.25.
What is 3/4 expressed as a percentage?,60%,70%,75%,80%,C,Basic Math,Multiply by 100,3/4 × 100 = 75%.
A circle has a circumference of 44 cm. What is its radius? (π = 22/7),7 cm,8 cm,14 cm,21 cm,A,Basic Math,Circumference = 2πr,44 = 2 × (22/7) × r. r = 44 × 7 / 44 = 7 cm.
If the selling price of an article is ₹840 and the loss is 16% what is the cost price?,₹1000,₹950,₹1050,₹1200,A,Basic Math,SP = CP × (100 – loss%)/100,840 = CP × 84/100. CP = 840 × 100/84 = ₹1000.
What is the next number in the sequence 1 1 2 3 5 8 13?,20,21,22,23,B,Basic Math,This is the Fibonacci sequence,In the Fibonacci sequence each term is the sum of the two preceding terms. 8 + 13 = 21.
A sum of ₹5000 is invested at 8% simple interest per annum. After how many years will it amount to ₹6600?,4,3.5,4.5,5,A,Basic Math,SI = PRT/100; A = P + SI,SI = 6600 – 5000 = 1600. 1600 = (5000 × 8 × T)/100. T = 1600 × 100 / 40000 = 4 years.
Which is the greatest of 4/5 7/10 13/20 67/100?,4/5,7/10,13/20,67/100,A,Basic Math,Convert to common denominator,4/5 = 80/100; 7/10 = 70/100; 13/20 = 65/100; 67/100. Largest = 80/100 = 4/5.
The volume of a cube whose side is 4 cm is:,16 cm³,32 cm³,48 cm³,64 cm³,D,Basic Math,Volume of cube = side³,V = 4³ = 64 cm³.
A man travels 60 km at 30 km/h and another 60 km at 60 km/h. His average speed for the whole journey is:,40 km/h,45 km/h,48 km/h,50 km/h,A,Basic Math,Average speed = Total distance / Total time,Time1 = 60/30 = 2h. Time2 = 60/60 = 1h. Total = 120 km in 3h. Average = 120/3 = 40 km/h.
The ratio 250g to 1 kg is:,1:4,1:5,2:5,1:40,A,Basic Math,Convert to same units,1 kg = 1000 g. Ratio = 250:1000 = 1:4.
Choose the one that best expresses the meaning of the word 'AMELIORATE':,Deteriorate,Worsen,Improve,Maintain,C,English,,Ameliorate means to make something bad or unsatisfactory better. It means to improve.
'To burn the midnight oil' means:,To waste energy,To work late into the night,To cause a fire,To waste time,B,English,,The idiom 'to burn the midnight oil' means to work or study late into the night using a lamp for light.
