question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
Which is the world's largest ocean?,Atlantic,Pacific,Indian,Arctic,B,GK & Current Affairs,It covers more than 30% of Earth's surface,The Pacific Ocean is the world's largest and deepest ocean covering an area of about 165 million sq km.
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Rafael,Pablo Picasso,B,GK & Current Affairs,He was also a scientist and inventor,The Mona Lisa was painted by Leonardo da Vinci between approximately 1503 and 1519.
The capital of Australia is?,Sydney,Melbourne,Brisbane,Canberra,D,GK & Current Affairs,It is not the largest city,Canberra is the capital of Australia. It was purpose-built to be the capital as a compromise between Sydney and Melbourne.
Who discovered Penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Edward Jenner,B,GK & Current Affairs,He discovered it accidentally in 1928,Alexander Fleming discovered Penicillin in 1928 when he noticed that mold (Penicillium notatum) was killing bacteria in a petri dish.
The 2024 Paris Olympics was held in which country?,Germany,France,Italy,Spain,B,GK & Current Affairs,Paris is the capital of this country,The 2024 Summer Olympics were held in Paris France from 26 July to 11 August 2024.
Which art form is Kathak associated with?,Odisha,Rajasthan/UP (North India),Kerala,Tamil Nadu,B,GK & Current Affairs,It is a North Indian classical dance,Kathak is a classical dance form of North India originating in Uttar Pradesh and Rajasthan.
The Bharat Ratna is India's highest?,Military honor,Civilian honor,Sports award,Academic award,B,GK & Current Affairs,It is given by the President of India,Bharat Ratna is India's highest civilian honor awarded for exceptional service to the nation.
Which river flows through the Thar Desert?,Sindhu,Luni,Sabarmati,Chambal,B,GK & Current Affairs,It is a saline river,The Luni River flows through the Thar Desert in Rajasthan and is known for its saline water.
Who is the author of 'Wings of Fire'?,APJ Abdul Kalam,Amartya Sen,Vikram Seth,Arundhati Roy,A,GK & Current Affairs,He was also the 11th President of India,Wings of Fire is the autobiography of Dr. APJ Abdul Kalam co-written with Arun Tiwari and published in 1999.
Mount Everest is located in which mountain range?,Alps,Andes,Himalayas,Rockies,C,GK & Current Affairs,It is the highest peak in the world,Mount Everest is located in the Himalayan mountain range on the border between Nepal and Tibet at 8849 meters.
The first Indian to go to space was?,Rakesh Sharma,Sunita Williams,Kalpana Chawla,Ravish Malhotra,A,GK & Current Affairs,He went with Soviet mission in 1984,Rakesh Sharma became the first Indian citizen to travel to space on 3 April 1984 as part of the Soviet Soyuz T-11 mission.
What does GDP stand for?,Gross Domestic Product,General Development Plan,Global Development Program,Gross Demand Production,A,GK & Current Affairs,It measures a country's economic output,GDP stands for Gross Domestic Product which measures the total monetary value of all goods and services produced within a country.
The Suez Canal connects which two water bodies?,Red Sea and Black Sea,Mediterranean Sea and Red Sea,Arabian Sea and Persian Gulf,Atlantic and Pacific,B,GK & Current Affairs,It is in Egypt,The Suez Canal in Egypt connects the Mediterranean Sea and the Red Sea enabling ships to avoid circumnavigating Africa.
Which is the largest continent by area?,North America,Africa,Asia,Europe,C,GK & Current Affairs,It has more than 4 billion people,Asia is the world's largest continent covering about 44.6 million sq km and home to 60% of the world's population.
Who discovered gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,A,GK & Current Affairs,An apple falling from a tree inspired him,Sir Isaac Newton formulated the law of universal gravitation after observing an apple fall from a tree around 1666.
The Statue of Unity represents which leader?,Mahatma Gandhi,Jawaharlal Nehru,Sardar Vallabhbhai Patel,B.R. Ambedkar,C,GK & Current Affairs,It is the world's tallest statue,The Statue of Unity in Gujarat represents Sardar Vallabhbhai Patel and is the world's tallest statue at 182 meters.
Which country is the largest democracy in the world?,USA,China,India,Brazil,C,GK & Current Affairs,It has the most voters,India is considered the world's largest democracy with over 900 million registered voters.
The Eiffel Tower is located in which city?,London,Berlin,Rome,Paris,D,GK & Current Affairs,It is the capital of France,The Eiffel Tower is an iron lattice tower located on the Champ de Mars in Paris France built by Gustave Eiffel in 1889.
Which is the smallest planet in our Solar System?,Earth,Mercury,Mars,Pluto,B,GK & Current Affairs,It is closest to the Sun,Mercury is the smallest planet in our Solar System and also the closest to the Sun.
Who is the author of 'The God of Small Things'?,Vikram Seth,Arundhati Roy,Jhumpa Lahiri,Amitav Ghosh,B,GK & Current Affairs,She is an Indian activist and writer,The God of Small Things was written by Arundhati Roy and won the Man Booker Prize in 1997.
Which country has the largest coastline in the world?,USA,Russia,Canada,Australia,C,GK & Current Affairs,It is in North America,Canada has the longest coastline in the world at approximately 202080 km including the mainland and islands.
The Indian Space Mission Chandrayaan-3 landed on?,Moon's north pole,Moon's south pole,Mars,Venus,B,GK & Current Affairs,It was a historic landing,Chandrayaan-3 successfully landed near the Moon's south pole on 23 August 2023 making India the first country to do so.
Which is the world's smallest country?,Vatican City,Monaco,San Marino,Liechtenstein,A,GK & Current Affairs,It is inside Rome,Vatican City is the world's smallest country with an area of just 0.44 sq km located within Rome Italy.
The National Emblem of India is adapted from?,Ashoka Pillar at Sarnath,Red Fort,Qutub Minar,Sanchi Stupa,A,GK & Current Affairs,It shows four lions,India's national emblem is adapted from the Lion Capital of Ashoka at Sarnath showing four lions though only three are visible from the front.
Which river is known as the Ganga of the South?,Yamuna,Krishna,Godavari,Cauvery,C,GK & Current Affairs,It flows through Maharashtra and Andhra Pradesh,The Godavari river is known as the Ganga of the South. It is the second longest river in India flowing through Maharashtra and Andhra Pradesh.
The headquarters of the World Health Organization (WHO) is in?,New York,Geneva,Brussels,Vienna,B,GK & Current Affairs,It is in Switzerland,The WHO headquarters is located in Geneva Switzerland. It was established on 7 April 1948.
Which is India's first indigenously built aircraft carrier?,INS Vikramaditya,INS Vikrant,INS Viraat,INS Arihant,B,GK & Current Affairs,It was commissioned in 2022,INS Vikrant is India's first indigenously designed and built aircraft carrier. It was commissioned on 2 September 2022.
The Nobel Prize in Physics 2023 was awarded for the study of?,Quantum computing,Attosecond pulses of light,Black holes,Dark matter,B,GK & Current Affairs,It helps study electrons in atoms,The 2023 Nobel Prize in Physics was awarded to Pierre Agostini Ference Krausz and Anne L'Huillier for experimental methods generating attosecond pulses of light.
Which Amendment added the words 'Socialist' and 'Secular' to the Indian Constitution?,42nd,44th,52nd,73rd,A,GK & Current Affairs,It was during the Emergency period,The 42nd Constitutional Amendment (1976) during the Emergency period added the words Socialist Secular and Integrity to the Preamble.
Who is the current Chief Justice of India (2024)?,D Y Chandrachud,Sanjiv Khanna,N V Ramana,U U Lalit,B,GK & Current Affairs,He took over from D Y Chandrachud,Justice Sanjiv Khanna became the 51st Chief Justice of India on 11 November 2024 succeeding D Y Chandrachud.
The Reserve Bank of India was established in which year?,1930,1932,1935,1947,C,GK & Current Affairs,It was during British rule,The Reserve Bank of India was established on 1 April 1935 during British rule under the Reserve Bank of India Act 1934.
Which country launched the first artificial satellite?,USA,China,Soviet Union,France,C,GK & Current Affairs,It was called Sputnik,The Soviet Union launched Sputnik 1 on 4 October 1957 becoming the first country to put an artificial satellite into orbit.
Who won the ICC Cricket World Cup 2023?,India,Australia,England,South Africa,B,GK & Current Affairs,The final was played in Ahmedabad,Australia won the ICC Cricket World Cup 2023 defeating India in the final held at Narendra Modi Stadium Ahmedabad on 19 November 2023.
The Kumbh Mela 2025 is being held in which city?,Haridwar,Ujjain,Nashik,Prayagraj,D,GK & Current Affairs,It is at the Sangam in UP,The Maha Kumbh Mela 2025 is being held in Prayagraj (Allahabad) Uttar Pradesh from January to February 2025 at the Triveni Sangam.
Which gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,GK & Current Affairs,Plants release oxygen and absorb this,Plants absorb Carbon Dioxide (CO₂) from the atmosphere during photosynthesis and convert it into glucose using sunlight.
The Rig Veda is associated with which civilization?,Indus Valley,Vedic,Maurya,Gupta,B,GK & Current Affairs,It is the oldest of the four Vedas,The Rig Veda is the oldest of the four Vedas and is associated with the Vedic civilization of ancient India.
Who heads the NITI Aayog?,President of India,Finance Minister,Prime Minister,RBI Governor,C,GK & Current Affairs,He is the ex-officio chairperson,The Prime Minister of India is the ex-officio Chairperson of NITI Aayog which replaced the Planning Commission in 2015.
The 2036 Summer Olympics is being bid for by which Indian city?,Mumbai,Delhi,Ahmedabad,Chennai,C,GK & Current Affairs,It is in Gujarat,Ahmedabad is India's candidate city for the 2036 Summer Olympics bid which has been submitted to the International Olympic Committee.
Which country is the world's largest producer of tea?,China,India,Kenya,Sri Lanka,A,GK & Current Affairs,Think East Asia,China is the world's largest producer of tea accounting for about 45% of global tea production.
In which state is the Kaziranga National Park located?,West Bengal,Assam,Odisha,Madhya Pradesh,B,GK & Current Affairs,It is famous for one-horned rhinos,Kaziranga National Park is located in Assam and is famous for the Indian one-horned rhinoceros. It is a UNESCO World Heritage Site.
Which ocean is known as the 'youngest ocean'?,Pacific,Atlantic,Indian,Antarctic,C,GK & Current Affairs,It formed when Gondwana broke apart,The Indian Ocean is considered the youngest of the major oceans geologically formed after the breakup of the supercontinent Gondwana.
Who is the author of 'Arthashastra'?,Valmiki,Kautilya (Chanakya),Kalidasa,Tulsidas,B,GK & Current Affairs,He was advisor to Chandragupta Maurya,Arthashastra is an ancient Indian treatise on statecraft and economic policy written by Kautilya (also known as Chanakya) advisor to Chandragupta Maurya.
The Sundarbans mangrove forest is located in?,Odisha and West Bengal,West Bengal and Bangladesh,Bangladesh and Myanmar,Bihar and West Bengal,B,GK & Current Affairs,It is a UNESCO World Heritage Site,The Sundarbans is the world's largest mangrove forest spanning across West Bengal (India) and Bangladesh and is a UNESCO World Heritage Site.
