question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
What does 'Habeas Corpus' literally mean?,You shall have the law,You shall have the body,Bring the evidence,Question the order,B,Legal Aptitude,It is a Latin phrase about body,Habeas Corpus is a writ that commands an authority to produce a detained person before the court.
Defamation is a tort that protects?,Property rights,Reputation,Physical integrity,Right to privacy,B,Legal Aptitude,Think about image and character,Defamation protects a person's reputation from false and damaging statements made by others.
The Indian Penal Code (IPC) was enacted in?,1857,1860,1872,1882,B,Legal Aptitude,It was enacted shortly after 1857 revolt,The Indian Penal Code was enacted in 1860 and came into force in January 1862.
Which writ is used to challenge illegal detention?,Mandamus,Certiorari,Habeas Corpus,Quo Warranto,C,Legal Aptitude,It literally means produce the body,Habeas Corpus is issued to release a person from illegal detention.
The right to constitutional remedies is guaranteed under?,Article 19,Article 32,Article 21,Article 14,B,Legal Aptitude,DR Ambedkar called it heart of Constitution,Article 32 gives the right to move the Supreme Court for enforcement of Fundamental Rights.
Which principle states that no one can be tried twice for the same offence?,Res Judicata,Double Jeopardy,Ab initio,Estoppel,B,Legal Aptitude,Think: you cannot be punished twice,Double Jeopardy prohibits prosecuting a person twice for the same offence under Article 20(2).
Battery in Tort law means?,Threat of harm,Actual unlawful physical contact,Damage to property,Wrongful imprisonment,B,Legal Aptitude,Compare assault: threat vs actual touch,Battery involves direct intentional unlawful physical contact with another person without consent.
Which of the following is an element of a valid contract?,Free consent,Written form,Stamp paper,Witnesses,A,Legal Aptitude,Free consent is one of the 5 essentials,A valid contract requires offer acceptance consideration lawful object capacity and free consent.
The doctrine of 'strict liability' was established in which case?,Donoghue v Stevenson,Rylands v Fletcher,Carlill v Carbolic,Bhim Singh v State,B,Legal Aptitude,Think about Rylands and his reservoir,The rule of strict liability was established in Rylands v Fletcher (1868): a person is liable for escape of dangerous things from their land.
Which article of the Constitution provides for Right to Life and Personal Liberty?,Article 14,Article 19,Article 21,Article 22,C,Legal Aptitude,Right to life is a precious fundamental right,Article 21 provides that no person shall be deprived of his life or personal liberty except by procedure established by law.
Assault in Tort law means?,Physical harm,Threat causing apprehension of harm,Written threat,Unlawful detention,B,Legal Aptitude,There is no actual contact in assault,Assault is the act of creating apprehension in the mind of another of imminent harmful or offensive contact.
Which of the following is NOT a writ?,Mandamus,Certiorari,Adjudication,Quo Warranto,C,Legal Aptitude,Writs are specific legal orders,The five constitutional writs are Habeas Corpus Mandamus Prohibition Certiorari and Quo Warranto. Adjudication is not a writ.
The law of evidence in India is governed by?,IPC 1860,CPC 1908,Indian Evidence Act 1872,CrPC 1973,C,Legal Aptitude,Evidence = proof; which act governs proof?,The Indian Evidence Act 1872 governs the rules of evidence including relevancy and admissibility in Indian courts.
The principle 'ignorance of law is no excuse' means?,The law need not be written,Everyone is presumed to know the law,Only lawyers are excused,Law must be published,B,Legal Aptitude,Think: can you escape punishment by saying you didn't know?,Everyone is presumed to know the law and ignorance cannot be pleaded as a defence in criminal proceedings.
Which of the following is the supreme law of India?,IPC,Civil Procedure Code,The Constitution of India,The Indian Penal Code,C,Legal Aptitude,Think: what is at the top of legal hierarchy?,The Constitution of India is the supreme law and all other laws must conform to it. Any law inconsistent with the Constitution is void.
The concept of 'Judicial Review' means?,Review by legislative body,Power of courts to examine laws,Review by President,Audit of judicial decisions,B,Legal Aptitude,Courts check if laws are constitutional,Judicial Review is the power of the Supreme Court and High Courts to examine the constitutionality of legislative and executive actions.
In which case was the 'Basic Structure' doctrine of the Constitution established?,Golaknath v State of Punjab,Kesavananda Bharati v State of Kerala,Minerva Mills v Union of India,Maneka Gandhi v Union of India,B,Legal Aptitude,It happened in 1973 with land dispute in Kerala,In Kesavananda Bharati v State of Kerala (1973) the Supreme Court held that Parliament cannot amend the basic structure of the Constitution.
A void agreement is?,Enforceable in court,Not enforceable by law,Enforceable by one party,Enforceable with court permission,B,Legal Aptitude,Void = no legal effect,A void agreement has no legal effect and cannot be enforced in a court of law from the very beginning.
Which article provides for the independence of the judiciary?,Article 50,Article 32,Article 13,Article 124,A,Legal Aptitude,Think about separation of powers,Article 50 of DPSP directs the State to separate the judiciary from the executive to ensure judicial independence.
The tort of 'negligence' requires proving?,Intent,Duty of care + breach + damage,Only intent to harm,Criminal record,B,Legal Aptitude,Negligence is carelessness not intent,To establish negligence a plaintiff must prove: duty of care owed by defendant breach of duty and resulting damage/loss.
The Indian Constitution came into force on?,15 August 1947,26 January 1950,26 November 1949,2 October 1950,B,GK & Current Affairs,Republic Day is the clue,The Indian Constitution was adopted on 26 November 1949 and came into force on 26 January 1950 which is celebrated as Republic Day.
Who is the current President of India (as of 2024)?,Narendra Modi,Droupadi Murmu,Ram Nath Kovind,Pratibha Patil,B,GK & Current Affairs,She became President in 2022,Droupadi Murmu became the 15th President of India on 25 July 2022 and is the first tribal woman to hold this position.
The headquarters of the United Nations is located in?,Geneva,Paris,New York,London,C,GK & Current Affairs,It is in the USA,The United Nations Headquarters is located in New York City USA and was established in 1945.
Which is the national bird of India?,Sparrow,Eagle,Peacock,Flamingo,C,GK & Current Affairs,Think of a colourful bird,The Indian Peacock (Pavo cristatus) is the national bird of India adopted in 1963.
India hosted the G20 Summit in which year?,2021,2022,2023,2024,C,GK & Current Affairs,India was G20 president in 2023,India hosted the G20 Summit in New Delhi in September 2023 under the theme 'Vasudhaiva Kutumbakam'.
Who wrote the 'Discovery of India'?,Mahatma Gandhi,B.R. Ambedkar,Jawaharlal Nehru,Rabindranath Tagore,C,GK & Current Affairs,It was written by India's first PM,The Discovery of India was written by Jawaharlal Nehru while he was imprisoned at Ahmednagar Fort during 1942–1946.
The Preamble of the Indian Constitution begins with?,We the People of Bharat,We the Citizens of India,We the People of India,Sovereign Democratic India,C,GK & Current Affairs,Think of the opening words,The Preamble begins with 'WE THE PEOPLE OF INDIA' signifying that power is derived from the people.
Which river is known as the 'Sorrow of Bihar'?,Ganga,Kosi,Yamuna,Brahmaputra,B,GK & Current Affairs,It causes frequent floods in Bihar,The Kosi River is known as the 'Sorrow of Bihar' because of its frequent devastating floods.
How many Schedules are there in the Indian Constitution?,8,10,12,14,C,GK & Current Affairs,It was 8 originally now more were added,The Indian Constitution originally had 8 Schedules; after amendments it now has 12 Schedules.
The 'Right to Education Act' was enacted in India in?,2005,2009,2012,2015,B,GK & Current Affairs,It was enacted in the UPA era,The Right of Children to Free and Compulsory Education Act (RTE Act) was enacted in 2009 and came into force on 1 April 2010.
ISRO stands for?,Indian Space Research Organisation,Indian Scientific Research Organisation,International Space Research Organisation,Indian Space Rocket Organisation,A,GK & Current Affairs,It is India's space agency,ISRO – Indian Space Research Organisation – is India's national space agency headquartered in Bengaluru.
The national animal of India is?,Lion,Elephant,Tiger,Leopard,C,GK & Current Affairs,It was adopted in 1973,The Bengal Tiger (Panthera tigris tigris) was declared the national animal of India in 1973 under Project Tiger.
Which planet is closest to the Sun?,Venus,Mars,Mercury,Earth,C,GK & Current Affairs,Think of the order of planets,Mercury is the closest planet to the Sun in the solar system.
The Battle of Panipat (First) was fought in?,1526,1556,1761,1600,A,GK & Current Affairs,It was when Babur defeated Ibrahim Lodi,The First Battle of Panipat was fought in 1526 between Babur and Ibrahim Lodi marking the beginning of the Mughal Empire.
Who is known as the 'Father of the Nation' in India?,Jawaharlal Nehru,B.R. Ambedkar,Mahatma Gandhi,Subhas Chandra Bose,C,GK & Current Affairs,He led the non-violence movement,Mahatma Gandhi is referred to as the 'Father of the Nation' for his leadership in India's freedom struggle through non-violence.
The first person to walk on the Moon was?,Yuri Gagarin,Neil Armstrong,Edwin Aldrin,John Glenn,B,GK & Current Affairs,Apollo 11 mission 1969,Neil Armstrong became the first human to walk on the Moon on 20 July 1969 during NASA's Apollo 11 mission.
Chandrayaan-3 successfully landed on the Moon's south pole in?,2020,2021,2022,2023,D,GK & Current Affairs,It was a recent ISRO achievement,Chandrayaan-3 made a successful soft landing near the Moon's south pole on 23 August 2023 making India the first country to do so.
The Strait of Hormuz is strategically important because of?,Freshwater supply,Oil shipping route,Rare earth minerals,Nuclear submarine bases,B,GK & Current Affairs,Think: Middle East oil trade route,The Strait of Hormuz is a critical chokepoint through which a significant portion of the world's oil and natural gas passes.
The 'Universal Declaration of Human Rights' was adopted in?,1945,1948,1950,1960,B,GK & Current Affairs,It was after World War II,The Universal Declaration of Human Rights was adopted by the United Nations General Assembly on 10 December 1948.
Who was the first woman Prime Minister of India?,Sarojini Naidu,Indira Gandhi,Vijaya Lakshmi Pandit,Pratibha Patil,B,GK & Current Affairs,She was also the world's first female PM,Indira Gandhi served as the first (and only) woman Prime Minister of India from 1966 to 1977 and again from 1980 to 1984.
The Tropic of Cancer passes through how many Indian states?,6,7,8,9,C,GK & Current Affairs,It passes through central India,The Tropic of Cancer passes through 8 Indian states: Gujarat Rajasthan Madhya Pradesh Chhattisgarh Jharkhand West Bengal Tripura and Mizoram.
Which country is the largest producer of rice in the world?,India,USA,China,Thailand,C,GK & Current Affairs,Think Asia's most populous nation,China is the world's largest producer of rice accounting for about 30% of global production.
The 'Silicon Valley of India' is?,Hyderabad,Chennai,Pune,Bengaluru,D,GK & Current Affairs,Think IT capital of India,Bengaluru (Bangalore) is known as the 'Silicon Valley of India' due to its concentration of IT companies and tech startups.
The Kyoto Protocol is associated with?,Nuclear disarmament,Climate change and greenhouse gases,Maritime law,Trade agreements,B,GK & Current Affairs,Think environment international agreement,The Kyoto Protocol (1997) is an international treaty committing countries to reduce greenhouse gas emissions to combat climate change.
Which High Court has jurisdiction over Goa?,Mumbai High Court,Delhi High Court,Allahabad High Court,Karnataka High Court,A,GK & Current Affairs,Goa was a Portuguese colony under Bombay presidency,The Bombay High Court has jurisdiction over Maharashtra Goa Dadra & Nagar Haveli and Daman & Diu.
The 'Doctrine of Separation of Powers' was propounded by?,John Locke,Rousseau,Montesquieu,Karl Marx,C,GK & Current Affairs,He was a French philosopher,Montesquieu in his work 'The Spirit of the Laws' (1748) propounded the doctrine of separation of powers into executive legislative and judicial.
Who drafted the Indian Constitution?,Jawaharlal Nehru,Sardar Patel,B.R. Ambedkar,Rajendra Prasad,C,GK & Current Affairs,He was the Chairman of Drafting Committee,Dr. B.R. Ambedkar was the Chairman of the Drafting Committee of the Indian Constitution and is called its chief architect.
United Nations was established in?,1919,1939,1945,1950,C,GK & Current Affairs,It was after World War II ended,The United Nations was officially established on 24 October 1945 after the ratification of the UN Charter following World War II.
The 'Pink City' of India is?,Jaipur,Jodhpur,Udaipur,Bikaner,A,GK & Current Affairs,It is the capital of Rajasthan,Jaipur is known as the 'Pink City' because of the pink-coloured buildings in its old city area painted in honour of Prince Albert's visit in 1876.
India's first satellite was?,Aryabhata,Rohini,INSAT-1A,Bhaskar,A,GK & Current Affairs,Named after ancient Indian mathematician,India's first satellite Aryabhata was launched on 19 April 1975 by the Soviet Union from Kapustin Yar.
"Find the next number in the series: 2, 6, 12, 20, 30, ?",36,40,42,48,C,Logical Reasoning,Look at the differences: 4 6 8 10 12,The differences between consecutive terms are 4 6 8 10 12. So next = 30 + 12 = 42.
If all roses are flowers and all flowers are beautiful then?,All roses are beautiful,Some roses are not beautiful,Flowers are not roses,Beautiful things are always flowers,A,Logical Reasoning,Use syllogism: all A=B all B=C then all A=C,Since all roses are flowers and all flowers are beautiful it logically follows that all roses are beautiful.
Odd one out: Dog Cat Cow Car,Dog,Cat,Cow,Car,D,Logical Reasoning,Three are animals one is not,Dog Cat and Cow are all animals. Car is a vehicle – it does not belong to the same category.
Find the missing letter: A C E ? I,F,G,H,J,B,Logical Reasoning,Skip one letter each time,The pattern skips one letter: A(skip B)C(skip D)E(skip F)G(skip H)I. Missing is G.
If APPLE = BQQMF in a code then MANGO = ?,NBOHO,NBOIP,NBOPH,NCOPH,C,Logical Reasoning,Each letter is shifted by 1,Each letter is replaced by the next letter in the alphabet: M→N A→B N→O G→H O→P. So MANGO = NBOIP. Wait: M+1=N A+1=B N+1=O G+1=H O+1=P = NBOHP. Answer C.
Pointing to a woman Ram says her mother is the only daughter of my mother. How is Ram related to the woman?,Brother,Father,Uncle,Son,B,Logical Reasoning,Trace back through the family tree,The only daughter of Ram's mother is Ram's sister. The woman's mother is Ram's sister. So the woman is Ram's niece and Ram is her uncle. Wait: rechecking – Ram's mother's only daughter = Ram's sister. Woman's mother = Ram's sister → Ram is the woman's uncle. Answer: C (Uncle).
Series: 1 4 9 16 25 ?,30,36,42,49,B,Logical Reasoning,Think of perfect squares,The series is squares of natural numbers: 1² 2² 3² 4² 5² 6² = 36.
A is B's sister. C is B's mother. D is C's father. E is D's mother. How is A related to D?,Granddaughter,Daughter,Sister,Grandmother,A,Logical Reasoning,Trace the family tree step by step,A is B's sister. B's mother is C. C's father is D. So D is A's grandfather and A is D's granddaughter.
Arrange in logical order: 1.Word 2.Sentence 3.Letter 4.Paragraph 5.Chapter,3 1 2 4 5,1 3 2 4 5,3 2 1 4 5,1 2 3 4 5,A,Logical Reasoning,Think: smallest to largest unit of writing,The correct ascending order of a written piece: Letter → Word → Sentence → Paragraph → Chapter = 3 1 2 4 5.
If X is coded as 2 Y is coded as 3 Z is coded as 4 then XYZ is coded as?,234,432,342,243,A,Logical Reasoning,Simply substitute the values,X=2 Y=3 Z=4. So XYZ = 234.
Find the missing number: 3 6 11 18 27 ?,36,37,38,39,C,Logical Reasoning,Look at differences: 3 5 7 9 11,Differences are 3 5 7 9 11 (odd numbers increasing by 2). So next = 27 + 11 = 38.
Statement: All men are mortal. Socrates is a man. Conclusion: ?,Socrates may be mortal,Socrates is mortal,Men are not Socrates,Mortality is male,B,Logical Reasoning,Apply the classic syllogism,This is the classic syllogism. If all men are mortal and Socrates is a man then Socrates is mortal.
Which of the following is the mirror image of 'JUDGE'?,EGDUJ,JUDGE,EGUДJ,ЭGUДJ,A,Logical Reasoning,Mirror image reverses the word,The mirror image of JUDGE when seen in a vertical mirror is EGUДJ — but in simple letter reversal it is EGDUJ.
If Monday = 1 Tuesday = 2 then what is Sunday?,5,6,7,8,C,Logical Reasoning,Count from Monday onwards,Monday=1 Tuesday=2 Wednesday=3 Thursday=4 Friday=5 Saturday=6 Sunday=7.
Choose the odd pair: (Milk–Cow) (Egg–Hen) (Leather–Deer) (Honey–Bee),Milk–Cow,Egg–Hen,Leather–Deer,Honey–Bee,C,Logical Reasoning,Think: which animal doesn't produce the item naturally?,Leather is not naturally 'produced' by a deer in the same way milk is by a cow or honey by a bee. Leather comes from the hide after slaughter.
What comes next in the pattern: AZ BY CX DW ?,EV,EU,FV,EW,A,Logical Reasoning,First letter goes forward second goes backward,First letters: A B C D E (going forward). Second letters: Z Y X W V (going backward). Next is EV.
A and B are brothers. C and D are sisters. A's son is D's brother. How is B related to C?,Father,Uncle,Brother,Grandfather,B,Logical Reasoning,Work through the links carefully,A's son is D's brother means A is D's and C's father. B is A's brother. So B is C's uncle.
Find the missing number: 2 3 5 8 13 21 ?,29,33,34,35,C,Logical Reasoning,Each term is sum of previous two,This is the Fibonacci sequence. 13+21 = 34.
Directions: A man walks 10 km North then turns South and walks 5 km. How far is he from start?,15 km,5 km,10 km,3 km,B,Logical Reasoning,North then South cancels,He goes 10 km North and 5 km South: 10–5 = 5 km from starting point.
Statement: Some doctors are singers. All singers are dancers. Conclusion 1: Some doctors are dancers. Conclusion 2: All dancers are singers. Which conclusion(s) follow?,Only 1,Only 2,Both 1 and 2,Neither,A,Logical Reasoning,In syllogisms follow only what is certain,From 'Some doctors are singers' and 'All singers are dancers' we can conclude Some doctors are dancers. We cannot conclude all dancers are singers.
Find the next term: 1 8 27 64 125 ?,196,210,216,225,C,Logical Reasoning,Think cubes: 1³ 2³ 3³...,The series is cubes of natural numbers: 1³=1 2³=8 3³=27 4³=64 5³=125 6³=216.
Odd one out: Violin Guitar Flute Sitar,Violin,Guitar,Flute,Sitar,C,Logical Reasoning,Think: which one is not a string instrument?,Violin Guitar and Sitar are all string instruments. Flute is a wind instrument – the odd one out.
What is the angle between the hands of a clock at 3:30?,60°,75°,90°,105°,B,Logical Reasoning,Minute hand is at 6 hour hand is between 3 and 4,At 3:30 minute hand is at 180°. Hour hand = 90° + 15° = 105°. Angle = 180° – 105° = 75°.
If A > B and B > C then?,A > C,A < C,A = C,Cannot be determined,A,Logical Reasoning,Transitivity: if A>B and B>C,By transitivity of inequality: if A > B and B > C then A > C.
Rearrange: NDEILA → Name of a country?,IRELAND,NAILDE,DENALI,ALDENI,A,Logical Reasoning,It is a European island nation,The letters NDEILA rearranged form IRELAND which is a country in Western Europe.
Series: 3 6 18 72 360 ?,1800,2160,2520,3600,B,Logical Reasoning,Look at the multipliers: ×2 ×3 ×4 ×5 ×6,The multipliers are 2 3 4 5 and next is 6. So 360 × 6 = 2160.
A clock shows 8:20. What is the mirror image of this time?,3:40,4:40,3:60,2:40,A,Logical Reasoning,Mirror image: the time you see when you look at its reflection in a mirror,Mirror image of a clock time: 11:60 – 8:20 = 3:40.
Statement: All birds can fly. Ostrich is a bird. Conclusion: Ostrich can fly. Is the conclusion?,True,False,Partially true,Cannot be determined,B,Logical Reasoning,Think of real life: can ostrich fly?,In formal logic the conclusion from the given premises would follow. But in reality ostriches cannot fly. The conclusion is factually false.
Find the next number: 5 10 20 40 80 ?,100,140,160,200,C,Logical Reasoning,The series is multiplied by 2 each time,Each term is multiplied by 2: 5×2=10 10×2=20 20×2=40 40×2=80 80×2=160.
Question: In a row of 20 students Ram is 8th from the left. What is his position from the right?,11,12,13,14,C,Logical Reasoning,Position from right = Total + 1 – position from left,Position from right = 20 + 1 – 8 = 13.
Choose the synonym of 'BENEVOLENT'.,Cruel,Malicious,Kind,Proud,C,English,Think of a positive word meaning well-wishing,Benevolent means well-meaning and kindly disposed. Its synonym is Kind.
Choose the antonym of 'MAGNANIMOUS'.,Generous,Noble,Petty,Brave,C,English,Magnanimous means generous in forgiving,Magnanimous means generous in forgiving or showing nobility of mind. Its antonym is Petty (small-minded).
Select the correctly spelled word.,Accomodation,Accommodation,Acommodation,Accomadation,B,English,Double m and double o,The correct spelling is Accommodation – with double 'c' and double 'm'.
Fill in the blank: She ___ to school every day.,go,goes,gone,going,B,English,Subject is singular she → use 's' form,With a singular third-person subject (she) the verb takes the –s form in simple present tense. She goes.
Choose the correct sentence.,He don't know the answer.,He doesn't knows the answer.,He doesn't know the answer.,He not know the answer.,C,English,Use does + not + base form,In negative sentences with third-person singular use 'does not' (doesn't) followed by the base form of verb: He doesn't know.
The plural of 'Child' is?,Childs,Childes,Children,Childrens,C,English,Irregular plural,Child has an irregular plural: Children. Not 'childs'.
Choose the synonym of 'ELOQUENT'.,Speechless,Articulate,Harsh,Dull,B,English,Eloquent = ability to speak fluently and expressively,Eloquent means fluent and persuasive in speaking. Its synonym is Articulate.
Find the correctly punctuated sentence.,Its a beautiful day.,"It's a beautiful day (wrong comma)",It's a beautiful day.,Its' a beautiful day.,C,English,It's = It is (contraction not possessive),The correct sentence uses an apostrophe to form a contraction. It's = It is. Option C is correctly punctuated.
Choose the correct meaning of the idiom: 'Beat around the bush',To garden,To avoid coming to the point,To be aggressive,To work hard,B,English,Think: talking round a topic without getting to the point,To 'beat around the bush' means to avoid talking about the main topic or to not speak directly about something.
Fill in the blank: Neither Ram nor his friends ___ present.,was,were,is,are,B,English,Neither...nor: verb agrees with the nearer subject,When 'neither...nor' joins two subjects the verb agrees with the subject closer to it. 'Friends' is plural so 'were' is correct.
Choose the antonym of 'VERBOSE'.,Talkative,Wordy,Concise,Elaborate,C,English,Verbose = using more words than needed,Verbose means using or expressed in more words than are needed. Its antonym is Concise.
Identify the type of sentence: 'What a beautiful painting this is!',Declarative,Interrogative,Imperative,Exclamatory,D,English,It expresses strong emotion and ends with !,Exclamatory sentences express strong emotions and typically end with an exclamation mark.
Choose the correct passive voice of: 'She writes a letter.',A letter is written by her.,A letter was written by her.,A letter has been written by her.,A letter is being written by her.,A,English,Simple present active → simple present passive,Active: She (subject) writes (verb) a letter (object). Passive: A letter (subject) is written (verb) by her (object).
The word 'Egregious' means?,Ordinary,Outstanding in a bad way,Excellent,Generous,B,English,It originally meant 'remarkably good' but now means very bad,Egregious now means remarkably bad or flagrant. Example: an egregious error.
Fill in the blank: He has been working here ___ 2010.,for,since,from,by,B,English,Since is used with a specific point in time,Since is used with a point in time (2010) while 'for' is used with a duration (five years).
Choose the indirect speech: She said 'I am happy'.,She said that she is happy.,She said that she was happy.,She told that she has been happy.,She said she had been happy.,B,English,Tense shifts back in indirect speech,In reporting speech the present tense 'am' shifts to past tense 'was'. So: She said that she was happy.
Choose the correct comparative form of 'Good'.,Gooder,More good,Better,Best,C,English,Good has irregular comparative form,The comparative of 'good' is 'better' (irregular). 'Best' is the superlative form.
Choose the synonym of 'INSOLENT'.,Polite,Humble,Impudent,Shy,C,English,Think rude disrespectful attitude,Insolent means showing a rude and arrogant lack of respect. Synonym: Impudent.
Select the sentence with correct subject-verb agreement.,The team are ready.,The teams is ready.,The team is ready.,Teams is ready.,C,English,Collective noun 'team' takes singular verb,Collective nouns like 'team' are treated as singular units and take singular verbs: The team is ready.
What does the idiom 'Spill the beans' mean?,Cook a meal,Reveal secret information,Make a mess,Start an argument,B,English,Think: revealing something that was hidden,To 'spill the beans' means to reveal secret or private information inadvertently or intentionally.
Fill in the blank: ___ you lend me your pen?,Will,Can,Could,Shall,C,English,Use 'Could' for a polite request,Could is more polite than Can when making a request. 'Could you lend me your pen?' is politely phrased.
Choose the antonym of 'FRUGAL'.,Economical,Thrifty,Extravagant,Careful,C,English,Frugal means careful with money,Frugal means sparing or economical with money. Its antonym is Extravagant (spending money freely).
Identify the figure of speech: 'The wind howled in the dark night.',Simile,Metaphor,Personification,Alliteration,C,English,The wind is given a human quality,Personification is the attribution of human characteristics to non-human things. Wind cannot 'howl' like a person – it is personified.
Choose the correct sentence.,Ram and Sita is going.,Ram and Sita goes to school.,Ram and Sita are going to school.,Ram and Sita was going to school.,C,English,Two subjects joined by 'and' take plural verb,'Ram and Sita' is a compound subject requiring a plural verb 'are'.
Find the odd word out:,Cheerful,Joyful,Gleeful,Gloomy,D,English,Three are synonyms of happy,Cheerful Joyful and Gleeful all mean happy or in good spirits. Gloomy means sad or dark – it is the odd one out.
Which sentence uses the apostrophe correctly?,The dogs bone is here.,The dog's bone is here.,The dogs' bone is here.,The dogs's bone is here.,B,English,Singular possessive: noun + apostrophe + s,For a singular noun showing possession add apostrophe + s: dog's bone.
Choose the correct one-word substitution: 'One who knows many languages'.,Linguist,Polyglot,Bibliophile,Philanthropist,B,English,Poly = many glot = language,A Polyglot is a person who knows and uses several languages.
Fill in the blank: He is the ___ of the two brothers.,taller,tallest,more tall,most tall,A,English,Comparing two → use comparative form,When comparing two people use the comparative form. 'Taller' is the comparative of 'tall'. Superlative 'tallest' is for three or more.
What does the idiom 'Bite the bullet' mean?,To eat metal,To face a painful situation bravely,To give up,To think before acting,B,English,Think: enduring something painful,To 'bite the bullet' means to endure a painful or difficult situation with courage and stoicism.
Choose the word that is spelled correctly.,Seize,Sieze,Seize,Seize,A,English,Ei after 's' – exception to i before e rule,The correct spelling is Seize. The rule 'i before e except after c' has exceptions; 'seize' follows the 'ei' pattern after 's'.
What is 15% of 80?,10,12,14,20,B,Basic Math,15% = 15/100; multiply by 80,15% of 80 = (15/100) × 80 = 1200/100 = 12.
A train travels 300 km in 5 hours. What is its speed in km/h?,55,60,65,70,B,Basic Math,Speed = Distance ÷ Time,Speed = 300 ÷ 5 = 60 km/h.
If 3x + 7 = 22 then x = ?,4,5,6,7,B,Basic Math,Isolate x: subtract 7 then divide by 3,3x = 22 – 7 = 15. x = 15 ÷ 3 = 5.
What is the LCM of 12 and 18?,24,36,48,72,B,Basic Math,LCM is the smallest number divisible by both,12 = 2² × 3. 18 = 2 × 3². LCM = 2² × 3² = 36.
A shopkeeper buys a pen for ₹40 and sells it for ₹50. What is his profit percentage?,20%,25%,30%,15%,B,Basic Math,Profit% = (Profit ÷ Cost Price) × 100,Profit = 50 – 40 = ₹10. Profit% = (10/40) × 100 = 25%.
What is the square root of 169?,11,12,13,14,C,Basic Math,Think 13 × 13 = ?,13 × 13 = 169. So √169 = 13.
The ratio of boys to girls in a class is 3:2. If there are 30 students total how many girls are there?,10,12,15,18,B,Basic Math,Girls = (2/5) of total students,Total parts = 3+2 = 5. Girls = (2/5) × 30 = 12.
A cistern can be filled in 6 hours and emptied in 10 hours. If both pipes are open how long to fill it?,12 hours,15 hours,20 hours,9 hours,B,Basic Math,Net rate = fill rate – empty rate,Fill rate = 1/6. Empty rate = 1/10. Net = 1/6 – 1/10 = 5/30 – 3/30 = 2/30 = 1/15. Time = 15 hours.
What is the area of a circle with radius 7 cm? (Take π = 22/7),154 cm²,144 cm²,132 cm²,176 cm²,A,Basic Math,Area = πr²,Area = (22/7) × 7 × 7 = 22 × 7 = 154 cm².
Simple Interest on ₹2000 at 5% per annum for 3 years is?,₹200,₹250,₹300,₹350,C,Basic Math,SI = (P × R × T) / 100,SI = (2000 × 5 × 3) / 100 = 30000/100 = ₹300.
If the cost price of 12 articles is equal to the selling price of 10 articles what is the profit percentage?,10%,15%,20%,25%,C,Basic Math,SP of 10 = CP of 12; find profit per article,CP of 12 = SP of 10. So SP/CP = 12/10. Profit% = (12–10)/10 × 100 = 20%.
The average of 5 numbers is 20. If one number is removed the average becomes 18. What is the removed number?,24,26,28,30,C,Basic Math,Total – remaining total = removed number,Total of 5 = 5×20 = 100. Total of 4 = 4×18 = 72. Removed = 100 – 72 = 28.
A man rows upstream at 5 km/h and downstream at 9 km/h. What is the speed of the stream?,1 km/h,2 km/h,3 km/h,4 km/h,B,Basic Math,Speed of stream = (downstream – upstream) / 2,Speed of stream = (9 – 5) / 2 = 4/2 = 2 km/h.
