question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"What does 'Habeas Corpus' literally mean?",You shall have the law,You shall have the body,Bring the evidence,Question the order,B,Legal Aptitude,It is a Latin phrase about body,Habeas Corpus is a writ that commands an authority to produce a detained person before the court.
"Defamation is a tort that protects?",Property rights,Reputation,Physical integrity,Right to privacy,B,Legal Aptitude,Think about image and character,Defamation protects a person's reputation from false and damaging statements made by others.
"The Indian Penal Code (IPC) was enacted in?",1857,1860,1872,1882,B,Legal Aptitude,It was enacted shortly after 1857 revolt,The Indian Penal Code was enacted in 1860 and came into force in January 1862.
"Which writ is used to challenge illegal detention?",Mandamus,Certiorari,Habeas Corpus,Quo Warranto,C,Legal Aptitude,It literally means produce the body,Habeas Corpus is issued to release a person from illegal detention.
"The right to constitutional remedies is guaranteed under?",Article 19,Article 32,Article 21,Article 14,B,Legal Aptitude,DR Ambedkar called it heart of Constitution,Article 32 gives the right to move the Supreme Court for enforcement of Fundamental Rights.
"Which principle states that no one can be tried twice for the same offence?",Res Judicata,Double Jeopardy,Ab initio,Estoppel,B,Legal Aptitude,Think: you cannot be punished twice,Double Jeopardy prohibits prosecuting a person twice for the same offence under Article 20(2).
"Battery in Tort law means?",Threat of harm,Actual unlawful physical contact,Damage to property,Wrongful imprisonment,B,Legal Aptitude,Compare assault: threat vs actual touch,Battery involves direct intentional unlawful physical contact with another person without consent.
"Which of the following is an element of a valid contract?",Free consent,Written form,Stamp paper,Witnesses,A,Legal Aptitude,Free consent is one of the 5 essentials,A valid contract requires offer acceptance consideration lawful object capacity and free consent.
"The doctrine of 'strict liability' was established in which case?",Donoghue v Stevenson,Rylands v Fletcher,Carlill v Carbolic,Bhim Singh v State,B,Legal Aptitude,Think about Rylands and his reservoir,The rule of strict liability was established in Rylands v Fletcher (1868): a person is liable for escape of dangerous things from their land.
"Which article of the Constitution provides for Right to Life and Personal Liberty?",Article 14,Article 19,Article 21,Article 22,C,Legal Aptitude,Right to life is a precious fundamental right,Article 21 provides that no person shall be deprived of his life or personal liberty except by procedure established by law.
"Assault in Tort law means?",Physical harm,Threat causing apprehension of harm,Written threat,Unlawful detention,B,Legal Aptitude,There is no actual contact in assault,Assault is the act of creating apprehension in the mind of another of imminent harmful or offensive contact.
"Which of the following is NOT a writ?",Mandamus,Certiorari,Adjudication,Quo Warranto,C,Legal Aptitude,Writs are specific legal orders,The five constitutional writs are Habeas Corpus Mandamus Prohibition Certiorari and Quo Warranto. Adjudication is not a writ.
"The law of evidence in India is governed by?",IPC 1860,CPC 1908,Indian Evidence Act 1872,CrPC 1973,C,Legal Aptitude,Evidence = proof; which act governs proof?,The Indian Evidence Act 1872 governs the rules of evidence including relevancy and admissibility in Indian courts.
"The principle 'ignorance of law is no excuse' means?",The law need not be written,Everyone is presumed to know the law,Only lawyers are excused,Law must be published,B,Legal Aptitude,Think: can you escape punishment by saying you didn't know?,Everyone is presumed to know the law and ignorance cannot be pleaded as a defence in criminal proceedings.
"Which of the following is the supreme law of India?",IPC,Civil Procedure Code,The Constitution of India,The Indian Penal Code,C,Legal Aptitude,Think: what is at the top of legal hierarchy?,The Constitution of India is the supreme law and all other laws must conform to it. Any law inconsistent with the Constitution is void.
"The concept of 'Judicial Review' means?",Review by legislative body,Power of courts to examine laws,Review by President,Audit of judicial decisions,B,Legal Aptitude,Courts check if laws are constitutional,Judicial Review is the power of the Supreme Court and High Courts to examine the constitutionality of legislative and executive actions.
"In which case was the 'Basic Structure' doctrine of the Constitution established?",Golaknath v State of Punjab,Kesavananda Bharati v State of Kerala,Minerva Mills v Union of India,Maneka Gandhi v Union of India,B,Legal Aptitude,It happened in 1973 with land dispute in Kerala,In Kesavananda Bharati v State of Kerala (1973) the Supreme Court held that Parliament cannot amend the basic structure of the Constitution.
"A void agreement is?",Enforceable in court,Not enforceable by law,Enforceable by one party,Enforceable with court permission,B,Legal Aptitude,Void = no legal effect,A void agreement has no legal effect and cannot be enforced in a court of law from the very beginning.
"Which article provides for the independence of the judiciary?",Article 50,Article 32,Article 13,Article 124,A,Legal Aptitude,Think about separation of powers,Article 50 of DPSP directs the State to separate the judiciary from the executive to ensure judicial independence.
"The tort of 'negligence' requires proving?",Intent,Duty of care + breach + damage,Only intent to harm,Criminal record,B,Legal Aptitude,Negligence is carelessness not intent,To establish negligence a plaintiff must prove: duty of care owed by defendant breach of duty and resulting damage/loss.
