question,optionA,optionB,optionC,optionD,correct,subject,hint,explanation
"The compound interest on ₹1000 at 10% per annum for 2 years is?",₹200,₹210,₹220,₹250,B,Basic Math,CI = P(1 + r)ⁿ – P,CI = 1000(1.1)² – 1000 = 1000 × 1.21 – 1000 = 1210 – 1000 = ₹210.
"Which of the following is a prime number?",21,22,23,24,C,Basic Math,Prime = divisible only by 1 and itself,23 is divisible only by 1 and 23. 21=3×7 22=2×11 24=2×12.
"If x² – 5x + 6 = 0 then the values of x are?",2 and 3,1 and 6,–2 and –3,3 and 6,A,Basic Math,Factorise: find two numbers that multiply to 6 and add to –5,x² – 5x + 6 = (x–2)(x–3) = 0. So x = 2 or x = 3.
"A discount of 20% on an article marked ₹500 gives a sale price of?",₹350,₹400,₹450,₹380,B,Basic Math,Discount = 20% of 500,Discount = (20/100) × 500 = ₹100. Sale price = 500 – 100 = ₹400.
"How many diagonals does a hexagon have?",6,8,9,12,C,Basic Math,Diagonals = n(n–3)/2 where n = sides,For hexagon n=6: Diagonals = 6(6–3)/2 = 6×3/2 = 9.
"A bag has 4 red and 6 blue balls. If one ball is drawn randomly what is the probability of getting a red ball?",2/5,3/5,1/2,1/4,A,Basic Math,P = favourable outcomes / total outcomes,Total balls = 10. Red balls = 4. P(red) = 4/10 = 2/5.
"Find HCF of 24 and 36.",6,12,18,24,B,Basic Math,HCF = highest common factor,24 = 2³ × 3. 36 = 2² × 3². HCF = 2² × 3 = 12.
"If the perimeter of a square is 48 cm its area is?",100 cm²,116 cm²,136 cm²,144 cm²,D,Basic Math,Side = Perimeter ÷ 4; Area = side²,Side = 48/4 = 12 cm. Area = 12² = 144 cm².
"A sum of money doubles itself in 10 years at simple interest. What is the rate of interest?",5%,8%,10%,12%,C,Basic Math,SI = P so P = PRT/100; T=10,If P doubles then SI = P. P = P × R × 10 / 100. 1 = R/10. R = 10%.
"What is the value of (1/2 + 1/3)?",3/5,5/6,2/5,4/6,B,Basic Math,Find LCM of denominators: 2 and 3,LCM of 2 and 3 is 6. 1/2 + 1/3 = 3/6 + 2/6 = 5/6.
"A room 8m × 6m has a floor. What is the cost to carpet it at ₹50 per m²?",₹2200,₹2400,₹2800,₹3000,B,Basic Math,Area = length × breadth; cost = area × rate,Area = 8 × 6 = 48 m². Cost = 48 × 50 = ₹2400.
